Index,N (t→t+1),Pearson (t→t+1),p (t→t+1),Spearman (t→t+1),p_s (t→t+1),N (t→t),Pearson (t→t),p (t→t),Spearman (t→t),p_s (t→t),Pearson± (t→t+1),Spearman± (t→t+1)
Nasdaq Composite,112,0.179,0.06,0.143,0.131,113,0.263,0.005,0.228,0.015,+0.179·,+0.143
Shanghai Composite,128,0.165,0.063,0.183,0.039,129,0.138,0.12,0.131,0.138,+0.165·,+0.183*
S&P/TSX Composite,108,0.136,0.159,0.188,0.051,109,0.006,0.954,0.01,0.918,+0.136,+0.188·
NSE Nifty,106,0.116,0.238,0.149,0.126,107,0.019,0.85,0.039,0.694,+0.116,+0.149
IBOVESPA,106,0.104,0.289,0.11,0.264,107,0.009,0.927,0.078,0.423,+0.104,+0.110
Dow Jones,122,0.102,0.263,0.092,0.313,123,-0.005,0.952,-0.012,0.895,+0.102,+0.092
FTSE 100,101,0.078,0.438,-0.025,0.804,102,0.085,0.398,0.049,0.621,+0.078,-0.025
Euro Stoxx 50,109,0.077,0.426,0.053,0.582,110,0.003,0.977,0.023,0.808,+0.077,+0.053
DAX,105,0.046,0.64,0.064,0.515,106,0.078,0.424,0.109,0.266,+0.046,+0.064
Nikkei 225,112,0.041,0.667,0.029,0.764,113,0.106,0.266,0.084,0.376,+0.041,+0.029
BSE Sensex,105,0.024,0.807,0.056,0.573,106,-0.033,0.739,-0.055,0.574,+0.024,+0.056
TSX,119,0.018,0.847,0.016,0.866,120,0.063,0.491,0.051,0.581,+0.018,+0.016
KOSPI,112,0.016,0.867,0.02,0.833,113,0.075,0.43,0.058,0.544,+0.016,+0.020
S&P 500,124,-0.003,0.973,-0.049,0.591,125,-0.109,0.227,-0.123,0.173,-0.003,-0.049
Russell 2000,117,-0.075,0.419,-0.056,0.547,118,-0.157,0.09,-0.155,0.094,-0.075,-0.056
ASX 200,101,-0.081,0.419,-0.102,0.311,102,-0.105,0.295,-0.133,0.182,-0.081,-0.102
Hang Seng,122,-0.147,0.106,-0.157,0.083,123,-0.157,0.083,-0.173,0.055,-0.147,-0.157·
CAC 40,103,-0.215,0.029,-0.195,0.048,104,-0.229,0.019,-0.218,0.026,-0.215*,-0.195*
