date,headline,source,market_event,market_index,index_change_percent,trading_volume,sentiment,sector,impact_level,related_company,news_url,sentiment_raw,cleaned_text,predicted_sentiment_slm,conf_slm,predicted_sentiment_llm,conf_llm,predicted_sentiment_ens,conf_ens,predicted_sentiment_baseline,conf_baseline,text_all,predicted_sentiment_blend,conf_blend
2025-05-21,Nikkei 225 index benefits from a weaker yen,Times of India,Commodity Price Shock,DAX,3.52,166.45,,Technology,High,Goldman Sachs,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,,nikkei index benefit weak yen,Neutral,0.928561806678772,Neutral,0.8457912802696228,Neutral,0.8457912802696228,Neutral,0.3510915384357726,[SECTOR]Technology [EVENT]Commodity Price Shock [INDEX]DAX || Nikkei 225 index benefits from a weaker yen,Neutral,1.0
2025-05-18,Government subsidy program gives a lift to the agriculture sector,Financial Times,Central Bank Meeting,Shanghai Composite,-3.39,57.61,,Retail,Low,ExxonMobil,https://timesofindia.indiatimes.com/business/markets/stock-market-crash,,government subsidy program give lift agriculture sector,Positive,0.9988086223602296,Negative,0.9177612662315368,Negative,0.9177612662315368,Positive,0.3621604638443979,[SECTOR]Retail [EVENT]Central Bank Meeting [INDEX]Shanghai Composite || Government subsidy program gives a lift to the agriculture sector,Neutral,0.38597069627395575
2025-06-25,New housing data release shows a slowdown in market activity,The Hindu Business Line,Consumer Confidence Report,Shanghai Composite,-0.05,403.22,Neutral,Retail,Medium,Boeing,https://www.moneycontrol.com/us-markets/sp-500,Neutral,new housing datum release show slowdown market activity,Negative,0.9996587074128912,Neutral,0.9706887602806092,Neutral,0.9706887602806092,Positive,0.3838406893283798,[SECTOR]Retail [EVENT]Consumer Confidence Report [INDEX]Shanghai Composite || New housing data release shows a slowdown in market activity,Positive,0.35895275072431176
2025-07-21,Massive stock buyback program announced by a consumer goods company,The Economist,Commodity Price Shock,NSE Nifty,-2.29,100.11,Positive,Consumer Goods,Low,Samsung Electronics,https://www.cnbc.com/2025/09/automotive-industry-trends,Positive,massive stock buyback program announce consumer good company,Negative,0.995518347248435,Positive,0.6850826740264893,Positive,0.6850826740264893,Neutral,0.3986073563227074,[SECTOR]Consumer Goods [EVENT]Commodity Price Shock [INDEX]NSE Nifty || Massive stock buyback program announced by a consumer goods company,Positive,0.3537850500106336
2025-07-23,Government spending bill is expected to stimulate the economy,The Motley Fool,Inflation Data Release,Nasdaq Composite,-3.97,438.22,Negative,Consumer Goods,Low,JP Morgan Chase,https://www.bloomberg.com/australia/asx-200-performance,Negative,government spending bill expect stimulate economy,Positive,0.9923479557037354,Negative,0.9136728048324584,Negative,0.9136728048324584,Negative,0.3888582843064054,[SECTOR]Consumer Goods [EVENT]Inflation Data Release [INDEX]Nasdaq Composite || Government spending bill is expected to stimulate the economy,Negative,0.4095445487168644
2025-03-18,Central bank maintains status quo on interest rates,Bloomberg,Unemployment Rate Announcement,IBOVESPA,0.56,36.24,Negative,Transportation,Low,ExxonMobil,https://www.reuters.com/markets/indices/ftse-100,Negative,central bank maintain status quo interest rate,Positive,0.9878121018409728,Positive,0.9171980619430542,Positive,0.9171980619430542,Negative,0.4332083256982397,[SECTOR]Transportation [EVENT]Unemployment Rate Announcement [INDEX]IBOVESPA || Central bank maintains status quo on interest rates,Negative,0.38022545307714095
2025-03-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Barron's,IPO Launch,Shanghai Composite,-3.68,273.35,Neutral,Telecommunications,Medium,JP Morgan Chase,https://www.cnbc.com/2025/08/russia-ukraine-war-economic-impact,Neutral,tech giant new product launch spark sector wide gain,Positive,0.9997351765632628,Negative,0.8704867362976074,Negative,0.8704867362976074,Neutral,0.3680258765268558,[SECTOR]Telecommunications [EVENT]IPO Launch [INDEX]Shanghai Composite || Tech Giant's New Product Launch Sparks Sector-Wide Gains,Neutral,1.0
2025-04-05,A massive data breach sends a tech company's stock tumbling,Wall Street Journal,Geopolitical Event,DAX,-4.33,420.89,Positive,Retail,Low,JP Morgan Chase,https://www.ft.com/content/tech-sector-innovation,Positive,massive datum breach send tech company stock tumbling,Negative,0.9995978150691373,Neutral,0.8904951810836792,Neutral,0.8904951810836792,Neutral,0.4338203852580539,[SECTOR]Retail [EVENT]Geopolitical Event [INDEX]DAX || A massive data breach sends a tech company's stock tumbling,Positive,0.365629217056164
2025-04-08,No Headline,Financial Times,Trade Tariffs Announcement,S&P/TSX Composite,-3.77,209.41,Positive,Automotive,Low,JP Morgan Chase,https://www.investopedia.com/articles/government-policy-announcement,Positive,headline,Positive,0.98231041431427,Positive,0.8201241493225098,Positive,0.8201241493225098,Negative,0.3500982620596941,[SECTOR]Automotive [EVENT]Trade Tariffs Announcement [INDEX]S&P/TSX Composite || headline,Neutral,0.39204734095903016
2025-06-18,Market sentiment turns positive on vaccine trial results,Investopedia,Trade Tariffs Announcement,Nikkei 225,3.35,76.55,Negative,Energy,Low,JP Morgan Chase,https://www.wsj.com/europe/dax-performance,Negative,market sentiment turn positive vaccine trial result,Positive,0.9929572343826294,Negative,0.937713861465454,Negative,0.937713861465454,Positive,0.3366807257832501,[SECTOR]Energy [EVENT]Trade Tariffs Announcement [INDEX]Nikkei 225 || Market sentiment turns positive on vaccine trial results,Positive,0.386153015316857
